H,S,V,contrast_0,contrast_45,contrast_90,contrast_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,ASM_0,ASM_45,ASM_90,ASM_135,label
32.553772,58.09971,74.28499,3.160477941176471,3.3904498269896206,3.1998774509803933,4.054163783160322,0.7067504417706162,0.6948208474595582,0.7037280393249685,0.6819400245446205,0.45829244429056926,0.4549851746626991,0.4572437593217794,0.4519227870862013,0.9193993742361497,0.9135825959077183,0.9183945815421041,0.896665537676829,0.21003196449382452,0.2070115091628468,0.20907185543871332,0.20423420548776006,EarlyBlight
13.150903,50.97121,88.427246,2.6933517156862736,3.2184236831987705,2.932628676470591,3.3503421760861216,0.713274543563985,0.6773105531734295,0.690996983516124,0.6737493718953715,0.3836644947849397,0.3772493349693019,0.38193887529089166,0.37754596438141774,0.9283394264275131,0.9142644800181025,0.9219731118639067,0.9107503060943994,0.14719844455858302,0.14231706073478056,0.14587730445847127,0.14254095522069474,EarlyBlight
20.33671,53.462444,76.90123,3.0482383578431387,3.1717185697808534,3.1488357843137265,3.8075663206459054,0.6887479293195968,0.6808036231471689,0.6866868493840541,0.6652513609007549,0.3692702436171787,0.3663087814525927,0.36966045082821647,0.36385941521232823,0.9088818287167117,0.9051629648067653,0.9058716742808464,0.8861505985922528,0.13636051282109052,0.13418212336928334,0.13664884890652026,0.13239367403865748,EarlyBlight
15.500923,46.50987,79.78926,2.151286764705882,2.5973087274125333,2.2465686274509795,2.6909342560553626,0.7347102915638759,0.7058214350970414,0.7286246927388925,0.7053247740966925,0.41975005153347766,0.41502006509475836,0.41911280341072965,0.4128780345075054,0.9420216971443596,0.9299817333480006,0.9394538011364832,0.9274577756987769,0.17619010576235714,0.17224165443125747,0.17565554198280092,0.17046827137878082,EarlyBlight
18.006962,48.470596,73.53923,1.6829963235294128,2.1217070357554784,1.881311274509803,2.202968089196461,0.7713444789822833,0.7444802628455505,0.7581741467251354,0.7402000935735666,0.4538191535588823,0.44885138866716445,0.452507908726158,0.4487532582811051,0.9565072736128658,0.9451975466505734,0.9513754284257699,0.9430986199857385,0.20595182413690039,0.20146756910844194,0.20476340745972094,0.20137948681790824,EarlyBlight
20.619894,53.17326,61.261307,1.8761335784313715,2.2359707804690516,1.8702205882352938,2.2475970780469057,0.762422518635892,0.7441524461792347,0.7639254364657494,0.7433782890263928,0.494016462806278,0.49073812266821526,0.49521745939291006,0.4905521800990118,0.9381648852883577,0.9263782875309077,0.9383597703601164,0.9259954793364386,0.24405226552362663,0.2408239050399243,0.2452403320875685,0.2406414413998933,EarlyBlight
13.460606,43.543877,81.59323,2.639583333333333,3.1728104575163405,2.9280943627450986,3.2131949250288327,0.7081850160911244,0.6819588538044603,0.6950411371031248,0.6820809533257475,0.44377700560962,0.4393457104722597,0.4435566379354782,0.43975890314447347,0.9332713890020813,0.9197686617769796,0.9259778362632425,0.9187474536350704,0.19693803070784072,0.1930246533103746,0.19674249105662492,0.1933878928948304,EarlyBlight
77.582924,72.02288,102.32573,2.049954044117646,2.9886812764321427,2.6405330882352933,2.9855132641291826,0.7093285757007348,0.6664500421714646,0.678455265703721,0.6622034495648917,0.37179856496563973,0.3665022680756495,0.37026655140589376,0.3658625244875825,0.958947795509485,0.9400799194677226,0.9471138325829823,0.9401434350059975,0.13823417291050902,0.13432391250459527,0.13709731909001338,0.1338553868244269,EarlyBlight
37.00385,61.21504,76.84839,2.490962009803922,3.242783544790466,2.9447610294117657,3.3026066897347186,0.701068195675916,0.6659260249202884,0.679170219944394,0.667152534683174,0.4104063959907934,0.40577925018323013,0.40979649008875046,0.40547873786020716,0.9249889880215809,0.9023159320192647,0.9113236155423448,0.9005138480759987,0.16843340987015196,0.16465679987926446,0.16793316328905936,0.1644130068567066,EarlyBlight
66.94141,76.212135,77.33185,2.5017156862745105,3.0431372549019606,2.6783088235294104,3.082199154171473,0.697814221442588,0.6673536973523272,0.6843716733737425,0.6655446855764677,0.3971271120224777,0.39251888725696316,0.39639548348241727,0.3925300712606218,0.9248754143345972,0.9086102668617255,0.9195724591105442,0.9074371825572416,0.15770994310331354,0.15407107685344454,0.15712937932525933,0.1540798568438688,EarlyBlight
18.268736,47.529087,88.69115,2.352726715686275,2.6443060361399464,2.710263480392157,3.1958477508650516,0.7205679556925534,0.7064035595346051,0.7102867172190704,0.6942559516829299,0.4623579155621464,0.45932068358181494,0.4614971606879144,0.45667744995987564,0.9521140431645374,0.9461718580055931,0.9448369591038821,0.9349445396353644,0.21377484208297287,0.21097549036606578,0.2129796293230067,0.2085542933018547,EarlyBlight
39.669636,61.91109,78.92453,1.659436274509803,2.204413687043447,1.8732843137254889,2.274602076124566,0.785201541555913,0.7535280955349891,0.7699564556197637,0.7553629374271531,0.5088354725066403,0.5048444829057986,0.5081383093310855,0.5036527609168682,0.964904714211057,0.9534115016630542,0.9603820590377514,0.9519281268921586,0.25891353808105594,0.25486795192042316,0.25820454140985394,0.25366610357918395,EarlyBlight
15.744482,58.435196,80.174484,2.221629901960784,2.775024990388313,2.609834558823529,2.978239138792775,0.725501284153127,0.6931556313383902,0.7025260126376389,0.687433576054875,0.4131862796665963,0.4084799240271879,0.41204035290271374,0.4084633768321229,0.9355318677810693,0.9194246642555972,0.9242667920254068,0.9135241594700857,0.17072290170472276,0.1668558483332572,0.16977725242019287,0.16684233021310085,EarlyBlight
